year,period,periodName,latest,value,footnotes,calculations,Category,Year-Month
2023,M09,September,True,307.789,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.9', '6': '2.0', '12': '3.7'}}",CUUR0000SA0,2023-09
2023,M08,August,,307.026,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '1.0', '6': '2.1', '12': '3.7'}}",CUUR0000SA0,2023-08
2023,M07,July,,305.691,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.8', '6': '2.2', '12': '3.2'}}",CUUR0000SA0,2023-07
2023,M06,June,,305.109,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '1.1', '6': '2.8', '12': '3.0'}}",CUUR0000SA0,2023-06
2023,M05,May,,304.127,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '1.1', '6': '2.2', '12': '4.0'}}",CUUR0000SA0,2023-05
2023,M04,April,,303.363,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.5', '3': '1.4', '6': '1.8', '12': '4.9'}}",CUUR0000SA0,2023-04
2023,M03,March,,301.836,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.3', '3': '1.7', '6': '1.7', '12': '5.0'}}",CUUR0000SA0,2023-03
2023,M02,February,,300.84,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.6', '3': '1.1', '6': '1.6', '12': '6.0'}}",CUUR0000SA0,2023-02
2023,M01,January,,299.17,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.8', '3': '0.4', '6': '1.0', '12': '6.4'}}",CUUR0000SA0,2023-01
2022,M12,December,,296.797,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.3', '3': '0.0', '6': '0.2', '12': '6.5'}}",CUUR0000SA0,2022-12
2022,M11,November,,297.711,[{}],"{'net_changes': {}, 'pct_changes': {'1': '-0.1', '3': '0.5', '6': '1.9', '12': '7.1'}}",CUUR0000SA0,2022-11
2022,M10,October,,298.012,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.4', '3': '0.6', '6': '3.1', '12': '7.7'}}",CUUR0000SA0,2022-10
2022,M09,September,,296.808,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.2', '3': '0.2', '6': '3.2', '12': '8.2'}}",CUUR0000SA0,2022-09
2022,M08,August,,296.171,[{}],"{'net_changes': {}, 'pct_changes': {'1': '0.0', '3': '1.3', '6': '4.4', '12': '8.3'}}",CUUR0000SA0,2022-08
